customer_id,days_since_last_purchase,tx_count_30d,tx_count_60d,tx_count_90d,num_unique_products,product_diversity_ratio,favorite_product_ratio,avg_days_between_tx,avg_monthly_txns,activity_level,tx_trend_60,tx_trend_90,recent_activity_score,target
8649525,0.0,747,1730,2210,32.0,0.002455305762295711,0.15445407810941456,0.007750153468385513,1180.7579654915623,2,-236,15.5,162.22099067994262,2487
1242611,0.0,631,1292,1426,38.0,0.003791658351626422,0.19517062462582319,0.013970661610617703,908.3252520742647,2,-30,233.5,140.68595471931567,1647
9467115,0.0,2999,6248,7641,35.0,0.002367104017313675,0.14432571351278237,0.004937436591139668,1335.4945206601499,2,-250,678.0,432.9966055940796,1009
1618902,0.0,1513,2602,3067,30.0,0.006074104069649726,0.23628264830937437,0.043134872417982986,461.4148288579206,2,424,736.0,229.1316585861409,581
1435341,0.0,678,1570,2335,23.0,0.004127781765972721,0.33955491744436467,0.028899658948124216,520.4838109846447,2,-214,-150.5,159.54317284893366,499
5741989,0.0,472,1288,1753,21.0,0.0023939808481532147,0.3223894208846329,0.013567438148443736,801.5724639095414,2,-344,-168.5,162.29122457380947,257
8423804,0.0,981,1730,1969,28.0,0.006424965580541533,0.2914180816888481,0.033968326830387884,395.1029535240536,2,232,487.0,180.4859356871437,611
4893343,0.0,510,840,1050,31.0,0.01802325581395349,0.15755813953488373,0.14077952297847585,164.0577632906437,2,180,240.0,133.1556909453685,334
6026638,0.0,654,1283,1645,28.0,0.007207207207207207,0.20386100386100386,0.04170957775489186,353.25413092050786,2,25,158.5,88.5257200393471,245
5102428,0.0,459,820,977,35.0,0.009581166164796057,0.19436079934300574,0.04134720700985761,332.11316991030714,2,98,200.0,68.79847183380897,362
4211546,1.0,68,419,420,12.0,0.02857142857142857,0.2119047619047619,0.1026252983293556,205.9000181524856,2,-283,-108.0,15.461328451689246,290
2147563,0.0,849,1995,2568,34.0,0.004963503649635037,0.285985401459854,0.030953423857497445,622.2533094394386,2,-297,-10.5,174.68387132881585,371
3007306,0.0,249,319,625,25.0,0.007282260413632392,0.2994465482085639,0.05973193473193473,311.12314218133434,2,179,61.0,73.90732236264317,438
3506724,0.0,218,391,741,31.0,0.01030242605516783,0.3226985709538053,0.05751329787234043,282.0481396697055,2,45,-43.5,90.60572694306501,476
1753248,0.0,270,466,519,24.0,0.035982008995502246,0.1874062968515742,0.23423423423423423,106.2918053256329,2,74,145.5,33.41815639724975,513
1067115,0.0,437,678,932,30.0,0.011529592621060722,0.1498847040737894,0.08112264513648597,237.56482441844554,2,196,189.5,59.78352370622024,467
4942230,0.0,235,707,1355,18.0,0.004449938195302843,0.4266996291718171,0.04945598417408507,366.67907902754,2,-237,-325.0,57.621689723692306,263
6096036,1.0,147,456,757,30.0,0.01051156271899089,0.15697266993693063,0.07080266386260077,266.31621083500613,2,-162,-158.0,50.527057900367886,128
1609753,0.0,945,1482,1867,29.0,0.009548896937767533,0.2495884096147514,0.06521739130434782,274.9735436324733,2,408,484.0,235.25157400130053,606
8962897,0.0,268,573,903,19.0,0.004883063479825238,0.22025186327422255,0.04730077120822622,363.49932407789714,2,-37,-49.5,76.65943932631463,116
9049512,0.0,205,245,369,25.0,0.015384615384615385,0.1963076923076923,0.13177339901477833,147.59698208665185,2,165,123.0,34.984434275794456,586
9318538,0.0,323,868,986,30.0,0.00985545335085414,0.18462549277266754,0.0791981597108117,275.80693234064984,2,-222,-8.5,52.8636796083835,616
1342180,0.0,198,531,782,21.0,0.00865265760197775,0.5496497733827771,0.046166529266281946,227.08416263824873,2,-135,-94.0,35.86838859081185,153
3738908,1.0,326,739,1041,17.0,0.007606263982102908,0.3413870246085011,0.10250671441360788,203.37791309418188,2,-87,-31.5,45.7486873403781,193
1610429,0.0,562,949,1413,23.0,0.0046445880452342485,0.20274636510500807,0.029690971520904868,460.77962058832185,2,175,136.5,127.3313727120558,185
